Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"Dianne Rahm, Vicki Brittain, Christopher Brown, Charles Garofalo, Nandhini Rangarajan, Patricia Shields, Hyun Jung Yun","Exploring the Demand for PhDs in Public Affairs and Administration",2015,"Journal of Public Affairs Education","Informa UK Limited","http://dx.doi.org/10.1080/15236803.2015.12001820","",1,"2024-07-25 11:47:15","journal-article","10.1080/15236803.2015.12001820","1523-6803","",21,1,115,128,8,0.89,1,7,9,"","https://www.tandfonline.com/doi/pdf/10.1080/15236803.2015.12001820",""
13,"Bo Li, Yijuan Lu, Azeem Ghumman, Bradley Strylowski, Mario Gutierrez, Safiyah Sadiq, Scott Forster, Natacha Feola, Travis Bugerin","3D Sketch-Based 3D Model Retrieval",2015,"Proceedings of the 5th ACM on International Conference on Multimedia Retrieval","ACM","http://dx.doi.org/10.1145/2671188.2749349","",2,"2024-07-25 11:47:15","proceedings-article","10.1145/2671188.2749349","","",,,,,13,1.44,1,9,9,"","https://dl.acm.org/doi/pdf/10.1145/2671188.2749349",""
3,"Bo Li, Yijuan Lu, Azeem Ghumman, Bradley Strylowski, Mario Gutierrez, Safiyah Sadiq, Scott Forster, Natacha Feola, Travis Bugerin","KinectSBR",2015,"Proceedings of the 5th ACM on International Conference on Multimedia Retrieval","ACM","http://dx.doi.org/10.1145/2671188.2749350","",3,"2024-07-25 11:47:15","proceedings-article","10.1145/2671188.2749350","","",,,,,3,0.33,0,9,9,"","https://dl.acm.org/doi/pdf/10.1145/2671188.2749350",""
25,"Araceli Ortiz, Beth Bos, Shaunna Smith","The Power of Educational Robotics as an Integrated STEM Learning Experience in Teacher Preparation Programs",2015,"Journal of College Science Teaching","Informa UK Limited","http://dx.doi.org/10.2505/4/jcst15_044_05_42","",4,"2024-07-25 11:47:15","journal-article","10.2505/4/jcst15_044_05_42","0047-231X","",44,5,,,25,2.78,8,3,9,"","",""
0,"Gwendolyn Hustvedt, Jiyun Kang, Beth Wuest","Impact of Sustainability and Ethics Learning on Career Considerations",2015,"","Iowa State University, Digital Repository","http://dx.doi.org/10.31274/itaa_proceedings-180814-108","",5,"2024-07-25 11:47:15","report","10.31274/itaa_proceedings-180814-108","","",,,,,0,0.00,0,3,9,"","",""
2,"Britta Elizabeth Moore, BJ Friedman, Sylvia Hurd Crixell","Usability of the Self‐Mini Nutritional Assessment<sup>®</sup> among Older Adults Receiving Home‐delivered Meals in Texas",2015,"Family and Consumer Sciences Research Journal","Wiley","http://dx.doi.org/10.1111/fcsr.12133","",6,"2024-07-25 11:47:15","journal-article","10.1111/fcsr.12133","1077-727X","",44,2,159,171,2,0.22,1,3,9,"Self‐screening tools for nutritional risk may be used to encourage older adults at risk of malnutrition to seek out preventive care. A recently available nutritional risk self‐screening tool, the Self‐Mini Nutritional Assessment","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Ffcsr.12133",""
2,"T. Hutchins, M. Nazari, M. Eridisoorya, T. M. Myers, M. Holtz","Raman measurements of substrate temperature in a molecular beam epitaxy growth chamber",2015,"Review of Scientific Instruments","AIP Publishing","http://dx.doi.org/10.1063/1.4905858","",7,"2024-07-25 11:47:15","journal-article","10.1063/1.4905858","0034-6748","",86,1,,,2,0.22,0,5,9,"A method is described for directly measuring the temperature of a substrate in a molecular-beam epitaxy (MBE) growth system. The approach relies on the establishment of the temperature dependence of Raman-active phonons of the substrate material using independently known calibration points across the range of interest. An unknown temperature in this range is then determined based on the Raman peak position with the substrate in situ the MBE chamber. The apparatus relies on conventional optics and Raman components. Shifting and broadening of the Raman spectrum are described based on the effects of thermal expansion and anharmonic decay. The choice of reference temperature is discussed. The method is qualified by examining the substrate temperature dependence, relative to that of a standard thermocouple, during a commonly used ramp procedure. Both temperature difference and time lag are obtained.","https://pubs.aip.org/aip/rsi/article-pdf/doi/10.1063/1.4905858/13816946/014904_1_online.pdf",""
19,"C. Garth Sampson, Virginia Moore, C. Britt Bousman, Bob Stafford, Alberto Giordano, Mark Willis","A GIS Analysis of the Zeekoe Valley Stone Age Archaeological Record in South Africa",2015,"Journal of African Archaeology","Brill","http://dx.doi.org/10.3213/2191-5784-10277","",8,"2024-07-25 11:47:15","journal-article","10.3213/2191-5784-10277","1612-1651","",13,2,167,185,19,2.11,3,6,9,"The conversion of the Zeekoe Valley Archaeological Project survey data to a GIS format allows rapid and accurate analysis of this large hunter-gatherer database. During the 16-month survey 13,866 prehistoric Stone Age sites were recorded and plotted on aerial photographs. These site locations and archaeological data can now be analysed in a manner never possible before the conversion. The distribution and abundance of sites spanning over ~700,000 years of occupation demonstrates how human hunting and gathering societies organized themselves spatially on an African landscape. These results show how these different groups positioned themselves in different locations especially in relation to water sources in the semi-desert Karoo. These distributions show flexible patterns of spatial organization through the prehistoric past.","https://brill.com/view/journals/jaa/13/2/article-p167_3.xml",""
11,"Ryan J. Cottier, Nathan A. Steinle, Daniel A. Currie, Nikoleta Theodoropoulou","Band gap tuning of epitaxial SrTiO3-δ/Si(001) thin films through strain engineering",2015,"Applied Physics Letters","AIP Publishing","http://dx.doi.org/10.1063/1.4936608","",9,"2024-07-25 11:47:15","journal-article","10.1063/1.4936608","0003-6951","",107,22,,,11,1.22,3,4,9,"We investigate the effect of strain and oxygen vacancies (VO) on the crystal and optical properties of oxygen deficient, ultra-thin (4–30 nm) films of SrTiO3-δ (STO) grown heteroepitaxially on p-Si(001) substrates by molecular beam epitaxy. We demonstrate that STO band gap tuning can be achieved through strain engineering and show that the energy shift of the direct energy gap transition of SrTiO3-δ/Si films has a quantifiable dimensional and doping dependence that correlates well with the changes in crystal structure.","https://pubs.aip.org/aip/apl/article-pdf/doi/10.1063/1.4936608/14471283/221601_1_online.pdf",""
23,"Robin Besse, Krista Howard, Stephanie Gonzalez, Jeffrey Howard","Major Depressive Disorder and Public School Teachers: Evaluating Occupational and Health Predictors and Outcomes",2015,"Journal of Applied Biobehavioral Research","Wiley","http://dx.doi.org/10.1111/jabr.12043","",10,"2024-07-25 11:47:15","journal-article","10.1111/jabr.12043","1071-2089","",20,2,71,83,23,2.56,6,4,9,"This study aimed to examine workplace depression among public teachers. Up to 3,003 teachers completed an occupational health survey and Patient Health Questionnaire, which provided provisional diagnoses of major depressive disorder (","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fjabr.12043",""
