,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
Year,25000.0,2012.0,7.211246777305803,2000.0,2006.0,2012.0,2018.0,2024.0,0.0,-1.203846919346939
Cites,25000.0,0.50002,0.287594946580996,0.09766,0.24994,0.50238,0.74956,0.99998,0.03149599743243711,-1.2613671367995336
capture.READER_COUNT_plumx,25000.0,0.50002,0.28852402626617474,0.05048,0.24506,0.50134,0.75002,1.0,0.0048491440236984274,-1.2111912552790458
citation.Scopus_plumx,25000.0,0.50002,0.2861759641754315,0.12916,0.12916,0.49812,0.7501,0.99998,0.06816065783477857,-1.3150136900011236
citation.CrossRef_plumx,25000.0,0.50002,0.28550121702787745,0.13986,0.13986,0.50102,0.74998,0.99998,0.08464417199604578,-1.3353119425724476
citation.Academic Citation Index (ACI) - airiti_plumx,25000.0,0.5000199999999998,0.06840872477362737,0.49048,0.49048,0.49048,0.49048,1.0,7.032448468814945,47.46572692277973
citation.PubMed_plumx,25000.0,0.50002,0.23646699502362795,0.3452,0.3452,0.3452,0.75034,1.0,0.9632166166780091,-0.8900407292343298
mention.ABSTRACT_VIEWS_plumx,25000.0,0.5000199999999999,0.10500022911551071,0.47692,0.47692,0.47692,0.47692,1.0,4.329176187661698,16.75998416998905
mention.DOWNLOAD_COUNT_plumx,25000.0,0.5000199999999999,0.07393346906820318,0.48884,0.48884,0.48884,0.48884,1.0,6.463199495322632,39.78392391946906
mention.FULL_TEXT_VIEWS_plumx,25000.0,0.5000199999999999,0.0175962536868961,0.4994,0.4994,0.4994,0.4994,1.0,28.34696663977612,801.6150607697623
capture.EXPORTS_SAVES_plumx,25000.0,0.5000200000000002,0.0077451920983312526,0.4999,0.4999,0.4999,0.4999,1.0,64.53035590646202,4162.499911226686
readers.citeulike_altmetrics,25000.0,0.5000200000000002,0.07957835999117988,0.48702,0.48702,0.48702,0.48702,1.0,5.9597336090697235,33.53021906173419
readers.mendeley_altmetrics,25000.0,0.50002,0.24025984861256763,0.33744,0.33744,0.33744,0.750845,1.0,0.9007689009564802,-0.9924672802194108
readers.connotea_altmetrics,25000.0,0.5000200000000002,0.03568625019002381,0.49746,0.49746,0.49746,0.49746,1.0,13.868879341026732,190.3627564446556
readers_count_altmetrics,25000.0,0.50002,0.24025984875475462,0.33744,0.33744,0.33744,0.75,1.0,0.9007688641885665,-0.9924674572945911
cited_by_posts_count_altmetrics,25000.0,0.50002,0.24196711554486697,0.33378,0.33378,0.33378,0.75176,1.0,0.8725775902988063,-1.0357832423720974
cited_by_accounts_count_altmetrics,25000.0,0.50002,0.2419667677201257,0.33378,0.33378,0.33378,0.74712,1.0,0.8725671118414305,-1.0358202975703164
cited_by_tweeters_count_altmetrics,25000.0,0.50002,0.20579990725870695,0.39468,0.39468,0.39468,0.39468,1.0,1.4858486370461834,0.3124278624387369
mention.FACEBOOK_COUNT_plumx,25000.0,0.5000200000000001,0.12117157966754145,0.46874,0.46874,0.46874,0.46874,1.0,3.6214869299870163,11.1396545422167
cited_by_fbwalls_count_altmetrics,25000.0,0.5000199999999999,0.09567223330470202,0.481,0.481,0.481,0.481,1.0,4.83407618639637,21.38363057890876
cited_by_videos_count_altmetrics,25000.0,0.5000199999999998,0.03354020090785016,0.49776,0.49776,0.49776,0.49776,1.0,14.77410509710592,216.29300214697545
cited_by_feeds_count_altmetrics,25000.0,0.50002,0.09078870254379982,0.48296,0.48296,0.48296,0.48296,1.0,5.136224096993986,24.394891457811404
cited_by_linkedin_count_altmetrics,25000.0,0.5000199999999999,0.005477006481646283,0.49996,0.49996,0.49996,0.49996,0.99998,91.27613751692476,8329.99970665495
cited_by_weibo_count_altmetrics,25000.0,0.50002,0.00316227766016872,0.5,0.5,0.5,0.5,1.0,158.113883008419,24999.99999999999
cited_by_msm_count_altmetrics,25000.0,0.50002,0.09977665828179592,0.47926,0.47926,0.47926,0.47926,1.0,4.601307517507822,19.188586053814635
mention.NEWS_COUNT_plumx,25000.0,0.50002,0.11587396032769948,0.47158,0.47158,0.47158,0.47158,1.0,3.8338666778829458,12.720344106128891
cited_by_patents_count_altmetrics,25000.0,0.50002,0.13580643521921967,0.46002,0.46002,0.46002,0.46002,1.0,3.109233395563339,7.699150404099601
citation.Patent Families_plumx,25000.0,0.50002,0.07062059969868062,0.48984,0.48984,0.48984,0.48984,1.0,6.794302568651674,44.17313713658132
citation.Policy Citation_plumx,25000.0,0.50002,0.14598545623405929,0.45314,0.45314,0.45314,0.45314,1.0,2.8039948386262976,5.90039372723877
cited_by_policies_count_altmetrics,25000.0,0.50002,0.09124979963006428,0.48278,0.48278,0.48278,0.48278,0.99994,5.106420291099796,24.089745405944335
impact_factor,25000.0,0.50002,0.27924987140435226,0.2003,0.2003,0.50004,0.74908,1.0,0.22116757519362504,-1.4402480266747235
cited_by_wikipedia_count_altmetrics,25000.0,0.5000199999999999,0.08807047605567239,0.484,0.484,0.484,0.484,1.0,5.317842732330112,26.292930017673417
