doi,capture.READER_COUNT,citation.Scopus,citation.CrossRef,citation.Academic Citation Index (ACI) - airiti,citation.PubMed,citation.Policy Citation,citation.Patent Families,mention.NEWS_COUNT,mention.FACEBOOK_COUNT,mention.REFERENCE_COUNT,citation.SSRN,mention.ABSTRACT_VIEWS,mention.DOWNLOAD_COUNT,mention.ALL_BLOG_COUNT,citation.PubMed Guidelines,mention.FULL_TEXT_VIEWS,citation.SciELO,capture.EXPORTS_SAVES,citation.CSCD
10.1116/1.591356,7.0,6.0,6.0,,,,,,,,,,,,,,,,
10.2752/089279300786999950,118.0,82.0,70.0,2.0,,,,,,,,,,,,,,,
10.1021/ic000389r,11.0,40.0,31.0,,1.0,,,,,,,,,,,,,,
10.1021/ef990207h,39.0,40.0,28.0,,,,,,,,,,,,,,,,
10.1016/s0362-3319(00)00063-x,38.0,49.0,33.0,,,1.0,,,,,,,,,,,,,
10.2308/jis.2000.14.s-1.65,7.0,,10.0,,,,,,,,,,,,,,,,
10.1021/ja991810h,17.0,93.0,75.0,,,,,,,,,,,,,,,,
10.2308/jis.2000.14.s-1.91,1.0,,1.0,,,,,,,,,,,,,,,,
10.2466/pr0.2000.86.3.863,14.0,6.0,2.0,,2.0,,,,,,,,,,,,,,
10.1063/1.126225,13.0,37.0,33.0,,,,,,,,,,,,,,,,
10.21307/immunohematology-2019-581,6.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1063/1.372168,19.0,152.0,143.0,,,,,,,,,,,,,,,,
10.1177/002193470003000502,28.0,58.0,49.0,,,,,,,,,,,,,,,,
10.1177/019251300021007004,28.0,16.0,11.0,,,,,,,,,,,,,,,,
10.1021/ef990177i,94.0,84.0,60.0,,,,1.0,,,,,,,,,,,,
10.2308/jis.2000.14.s-1.127,,,1.0,,,,,,,,,,,,,,,,
10.1177/089124300014003006,30.0,35.0,29.0,3.0,,,,,,,,,,,,,,,
10.1177/107319110000700210,16.0,3.0,3.0,,,,,,,,,,,,,,,,
10.1021/jf000140s,19.0,12.0,9.0,,,1.0,,2.0,,,,,,,,,,,
10.1177/0022022100031006004,21.0,29.0,18.0,,,,,,,,,,,,,,,,
10.2514/2.6524,3.0,18.0,4.0,,,,,,,,,,,,,,,,
10.1177/009164710002800205,14.0,17.0,8.0,2.0,,,,,,,,,,,,,,,
10.1177/154193120004401105,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1080/00275514.2000.12061160,,,,,,,,,,,,,,,,,,,
10.2190/byvt-8rj0-3w69-nwlp,25.0,10.0,5.0,,,,,,,,,,,,,,,,
10.1152/jappl.2000.88.1.165,60.0,15.0,12.0,1.0,5.0,,,1.0,76.0,,,,,,,,,,
10.1177/105256290002400209,40.0,11.0,9.0,,,,,,,,,,,,,,,,
10.1123/apaq.17.2.258,,,,,,,,,,,,,,,,,,,
10.1177/1532673x00028001001,49.0,48.0,40.0,,,,,,,,,,,,,,,,
10.1063/1.126208,8.0,51.0,48.0,,,,,,,,,,,,,,,,
10.1177/107319110000700101,41.0,24.0,17.0,,2.0,1.0,,,,,,,,,,,,,
10.1121/1.1317557,64.0,38.0,34.0,,14.0,,,,,,,,,,,,,,
10.1021/ja993392m,25.0,43.0,40.0,,,,,,,,,,,,,,,,
10.1177/00754240022005045,18.0,17.0,5.0,,,,,136.0,,,,,,,,,,,
10.1061/40517(2000)266,4.0,,,,,,,,,,,,,,,,,,
10.1177/1066480700082007,11.0,7.0,5.0,,,,,,,,,,,,,,,,
10.2118/63047-ms,6.0,,,,,,,,,,,,,,,,,,
10.1021/jp000563x,13.0,52.0,49.0,,,,,,,,,,,,,,,,
10.2514/2.6531,9.0,22.0,9.0,,,,,,,,,,,,,,,,
10.1021/bi001923+,19.0,49.0,34.0,,17.0,,,,,2.0,,,,,,,,,
10.1177/0146167200267001,156.0,145.0,112.0,,,,,,,,,,,,,,,,
10.1142/s0218625x00000531,,,8.0,,,,,,,,,,,,,,,,
10.1063/1.372381,1.0,10.0,9.0,,,,,,,,,,,,,,,,
10.1063/1.1309022,8.0,40.0,36.0,,,,,,,,,,,,,,,,
10.1111/0002-9092.00017,12.0,21.0,18.0,,,,,,,,3.0,116.0,4.0,,,,,,
10.4018/joeuc.2000070103,2.0,,2.0,,,,,,,,,,,,,,,,
10.7459/wse/01.1.06,,,,,,,,,,,,,,,,,,,
10.1177/0095327x0002600314,5.0,,1.0,,,,,,,,,,,,,,,,
10.1177/106591290005300303,21.0,19.0,14.0,,,,,1.0,,,,,,,,,,,
10.1177/019791830003400118,,,,,,,,,,,,,,,,,,,
10.1177/016059760002400306,2.0,,1.0,,,,,,,,,,,,,,,,
10.1177/016264340001500402,14.0,7.0,6.0,,,3.0,,,23.0,,,,,,,,,,
10.1152/ajpheart.2000.279.4.h1715,53.0,92.0,76.0,,35.0,,,,,,,,,,,,,,
10.1021/bi0015562,65.0,98.0,90.0,,32.0,,,,,,,,,,,,,,
10.1177/0010414000033005003,25.0,55.0,39.0,1.0,,1.0,,,,,,,,,,,,,
10.1093/genetics/156.4.1879,74.0,150.0,107.0,,81.0,,,,,,,,,,,,,,
10.2118/64308-ms,6.0,,4.0,,,,,,,,,,,,,,,,
10.1177/109804820000400207,,,2.0,,,,,,,,,,,,,,,,
10.1121/1.429612,113.0,138.0,134.0,,47.0,,,,,,,,,,,,,,
10.1080/10556699.2000.10603441,2.0,,,,,,,,,,,,,,,,,,
10.1177/0306624x00444008,15.0,9.0,5.0,,,1.0,,,,,,,,,,,,,
10.3102/00028312037004849,39.0,,18.0,,,,,,,1.0,,,,,,,,,
10.1177/014920630002600104,523.0,501.0,187.0,2.0,,4.0,,4.0,,,,,,,,,,,
10.1116/1.1286716,1.0,,1.0,,,,,,,,,,,,,,,,
10.1177/107834580000700106,6.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1115/2000-gt-0253,11.0,50.0,16.0,,,,,,,,,,,,,,,,
10.1115/1.1290396,,,,,,,,,,,,,,,,,,,
10.1021/a10000054,45.0,30.0,23.0,,,,,,,,,,,,,,,,
