Authors,Title,Year,Source,ArticleURL,DOI,Cites,capture.READER_COUNT_plumx,citation.Scopus_plumx,citation.CrossRef_plumx,citation.Academic Citation Index (ACI) - airiti_plumx,citation.PubMed_plumx,mention.ABSTRACT_VIEWS_plumx,mention.DOWNLOAD_COUNT_plumx,mention.FULL_TEXT_VIEWS_plumx,capture.EXPORTS_SAVES_plumx,readers.citeulike_altmetrics,readers.mendeley_altmetrics,readers.connotea_altmetrics,readers_count_altmetrics,cited_by_posts_count_altmetrics,cited_by_accounts_count_altmetrics,cited_by_tweeters_count_altmetrics,mention.FACEBOOK_COUNT_plumx,cited_by_fbwalls_count_altmetrics,cited_by_videos_count_altmetrics,cited_by_feeds_count_altmetrics,cited_by_linkedin_count_altmetrics,cited_by_weibo_count_altmetrics,cited_by_msm_count_altmetrics,mention.NEWS_COUNT_plumx,cited_by_patents_count_altmetrics,citation.Patent Families_plumx,citation.Policy Citation_plumx,cited_by_policies_count_altmetrics,impact_factor,cited_by_wikipedia_count_altmetrics,Bibliometrics_avg,Social Media_avg,News Media_avg,Patents_avg,Policies_avg,Journal Impact Factor_avg,Misc._avg,Bibliometrics_pct,Social Media_pct,News Media_pct,Patents_pct,Policies_pct,Journal Impact Factor_pct,Misc._pct,composite_score,composite_index_pct
"Mark S. Slaughter, Joseph G. Rogers, Carmelo A. Milano, Stuart D. Russell, John V. Conte, David Feldman, Benjamin Sun, Antone J. Tatooles, Reynolds M. Delgado, James W. Long, Thomas C. Wozniak, Waqas Ghumman, David J. Farrar, O. Howard Frazier",Advanced Heart Failure Treated with Continuous-Flow Left Ventricular Assist Device,2009,New England Journal of Medicine,http://dx.doi.org/10.1056/nejmoa0909938,10.1056/nejmoa0909938,0.99964,0.99708,0.99964,0.99944,0.98668,0.99968,0.47692,0.48884,0.4994,0.4999,0.99856,0.9976,0.99974,0.99768,0.96706,0.96384,0.869,0.46874,0.96376,0.99648,0.99364,0.49996,0.5,0.98792,0.99424,0.99414,0.48984,0.99648,0.99824,0.99464,0.97632,0.8416276923076923,0.74748,0.99108,0.74199,0.99736,0.99464,0.9888133333333333,1.0,0.97176,0.99418,0.97738,0.99896,0.99464,0.99944,0.993932,1.0
"Marina Konopleva, Daniel A. Pollyea, Jalaja Potluri, Brenda Chyla, Leah Hogdal, Todd Busman, Evelyn McKeegan, Ahmed Hamed Salem, Ming Zhu, Justin L. Ricker, William Blum, Courtney D. DiNardo, Tapan Kadia, Martin Dunbar, Rachel Kirby, Nancy Falotico, Joel Leverson, Rod Humerickhouse, Mack Mabry, Richard Stone, Hagop Kantarjian, Anthony Letai",Efficacy and Biological Correlates of Response in a Phase II Study of Venetoclax Monotherapy in Patients with Acute Myelogenous Leukemia,2016,Cancer Discovery,http://dx.doi.org/10.1158/2159-8290.cd-16-0313,10.1158/2159-8290.cd-16-0313,0.99916,0.9966,0.99908,0.9986,0.99382,0.99984,0.47692,0.48884,0.4994,0.4999,0.99434,0.99694,0.49746,0.99696,0.9869,0.98726,0.96692,0.46874,0.98852,0.49776,0.98024,0.49996,0.5,0.99384,0.97812,0.99854,1.0,0.952,0.99104,0.98212,0.484,0.802976923076923,0.7711857142857143,0.98598,0.99927,0.9715199999999999,0.98212,0.654,0.99968,0.98456,0.99268,0.99984,0.9837,0.98212,0.95954,0.993001,0.99996
"Eli J. Finkel, Paul W. Eastwick, Benjamin R. Karney, Harry T. Reis, Susan Sprecher",Online Dating,2012,Psychological Science in the Public Interest,http://dx.doi.org/10.1177/1529100612436522,10.1177/1529100612436522,0.99448,0.99892,0.99392,0.99568,0.98894,0.97188,0.47692,0.48884,0.4994,0.4999,0.98806,0.99904,0.49746,0.88432,0.99042,0.9892,0.9753,0.46874,0.99468,0.49776,0.9944,0.49996,0.5,0.99608,0.9952,0.94494,0.99194,0.97592,0.98358,0.9369,0.9976,0.7910215384615386,0.774042857142857,0.99564,0.96844,0.97975,0.9369,0.82992,0.9988,0.98636,0.99632,0.98472,0.9885,0.9369,0.99892,0.991781,0.99992
"Sheneve Z. Butler, Shawna M. Hollen, Linyou Cao, Yi Cui, Jay A. Gupta, Humberto R. Gutiérrez, Tony F. Heinz, Seung Sae Hong, Jiaxing Huang, Ariel F. Ismach, Ezekiel Johnston-Halperin, Masaru Kuno, Vladimir V. Plashnitsa, Richard D. Robinson, Rodney S. Ruoff, Sayeef Salahuddin, Jie Shan, Li Shi, Michael G. Spencer, Mauricio Terrones, Wolfgang Windl, Joshua E. Goldberger","Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene",2013,ACS Nano,http://dx.doi.org/10.1021/nn400280c,10.1021/nn400280c,0.99984,0.99984,0.99984,0.99984,0.49048,0.99948,0.99092,0.48884,0.4994,0.4999,0.997,0.99988,0.49746,0.99988,0.97924,0.98126,0.94302,0.99844,0.96734,0.49776,0.98564,0.49996,0.5,0.96542,0.95248,0.99916,0.99946,0.96554,0.48278,0.9334,0.99414,0.8048276923076922,0.8384657142857143,0.95895,0.99931,0.7241599999999999,0.9334,0.8258466666666667,0.99984,0.99668,0.9765,0.99988,0.95266,0.9334,0.99788,0.9890559999999999,0.99988
"Michael J. Saks, Jonathan J. Koehler",The Coming Paradigm Shift in Forensic Identification Science,2005,Science,http://dx.doi.org/10.1126/science.1111565,10.1126/science.1111565,0.98672,0.97148,0.98972,0.98988,0.9958,0.9272,0.47692,0.48884,0.4994,0.4999,0.99928,0.97692,0.49746,0.97764,0.92956,0.934,0.90454,0.95764,0.481,0.49776,0.96812,0.49996,0.5,0.98664,0.96928,0.933,0.48984,0.97096,0.9732,0.96242,0.9725,0.7915723076923076,0.7438142857142857,0.9779599999999999,0.71142,0.97208,0.96242,0.8127933333333334,0.99892,0.96872,0.98836,0.93106,0.98396,0.96242,0.9934,0.9844610000000001,0.99984
"Cédric Feschotte, Ellen J. Pritham",DNA Transposons and the Evolution of Eukaryotic Genomes,2007,Annual Review of Genetics,http://dx.doi.org/10.1146/annurev.genet.40.110405.090448,10.1146/annurev.genet.40.110405.090448,0.99696,0.998,0.99646,0.9968,0.49048,0.99944,0.47692,0.48884,0.4994,0.4999,0.9998,0.99824,0.49746,0.99832,0.96528,0.96888,0.88358,0.95062,0.481,0.49776,0.98826,0.49996,0.5,0.96838,0.97134,0.9982,0.48984,0.96456,0.99516,0.81904,0.98972,0.76462,0.749902857142857,0.9698599999999999,0.74402,0.97986,0.81904,0.8252466666666667,0.99692,0.9726,0.98284,0.97956,0.98864,0.81904,0.9976,0.9816560000000001,0.9998
"Milind Javle, Tanios Bekaii‐Saab, Apurva Jain, Ying Wang, Robin Katie Kelley, Kai Wang, Hyunseon C. Kang, Daniel Catenacci, Siraj Ali, Sunil Krishnan, Daniel Ahn, Andrea Grace Bocobo, Mingxin Zuo, Ahmed Kaseb, Vincent Miller, Philip J. Stephens, Funda Meric‐Bernstam, Rachna Shroff, Jeffrey Ross",Biliary cancer: Utility of next‐generation sequencing for clinical management,2016,Cancer,http://dx.doi.org/10.1002/cncr.30254,10.1002/cncr.30254,0.99456,0.96124,0.99428,0.9948,0.49048,0.99904,0.47692,0.48884,0.4994,0.4999,0.48702,0.96996,0.49746,0.96996,0.99678,0.9938,0.956,0.46874,0.97554,0.49776,0.98024,0.49996,0.5,0.99892,0.99956,0.99444,0.99528,0.952,0.99104,0.87602,0.484,0.7176384615384616,0.7701171428571428,0.99924,0.9948600000000001,0.9715199999999999,0.87602,0.654,0.98188,0.984,0.99928,0.99816,0.9837,0.87602,0.95954,0.979232,0.99976
"Jill S. Barnholtz-Sloan, Andrew E. Sloan, Faith G. Davis, Fawn D. Vigneau, Ping Lai, Raymond E. Sawaya",Incidence Proportions of Brain Metastases in Patients Diagnosed (1973 to 2001) in the Metropolitan Detroit Cancer Surveillance System,2004,Journal of Clinical Oncology,http://dx.doi.org/10.1200/jco.2004.12.149,10.1200/jco.2004.12.149,0.99768,0.98996,0.99772,0.99748,0.49048,0.99956,0.47692,0.48884,0.4994,0.4999,0.97824,0.99156,0.49746,0.99156,0.97902,0.96912,0.79342,0.46874,0.481,0.49776,0.96772,0.49996,0.5,0.99532,0.99828,0.9837,0.48984,0.98102,0.48278,0.95602,0.98278,0.7614676923076923,0.67018,0.9967999999999999,0.73677,0.7319,0.95602,0.8160866666666666,0.996,0.8856,0.9972,0.97142,0.964,0.95602,0.99412,0.9773290000000001,0.99972
"James W. Pennebaker, Matthias R. Mehl, Kate G. Niederhoffer","Psychological Aspects of Natural Language Use: Our Words, Our Selves",2003,Annual Review of Psychology,http://dx.doi.org/10.1146/annurev.psych.54.101601.145041,10.1146/annurev.psych.54.101601.145041,0.99832,0.99836,0.9986,0.99868,0.99908,0.99708,0.47692,0.48884,0.4994,0.4999,0.99716,0.99852,0.49746,0.99856,0.92762,0.9327,0.39468,0.46874,0.96252,0.99584,0.98244,0.49996,0.5,0.98836,0.9771,0.96168,0.48984,0.97428,0.97058,0.9174,0.484,0.8037353846153845,0.6694599999999999,0.98273,0.72576,0.97243,0.9174,0.8207599999999999,0.99972,0.88504,0.9912,0.95418,0.98434,0.9174,0.996,0.9770059999999999,0.99968
"Yoshikazu Honda-Okubo, Dale Barnard, Chun Hao Ong, Bi-Hung Peng, Chien-Te Kent Tseng, Nikolai Petrovsky",Severe Acute Respiratory Syndrome-Associated Coronavirus Vaccines Formulated with Delta Inulin Adjuvants Provide Enhanced Protection while Ameliorating Lung Eosinophilic Immunopathology,2015,Journal of Virology,http://dx.doi.org/10.1128/jvi.02980-14,10.1128/jvi.02980-14,0.98668,0.97474,0.98224,0.98182,0.49048,0.99774,0.47692,0.48884,0.4994,0.4999,0.48702,0.97936,0.49746,0.97922,0.96792,0.97,0.95238,0.96922,0.481,0.49776,0.9919,0.49996,0.5,0.96768,0.9703,0.99312,0.48984,0.99252,0.48278,0.79894,0.99808,0.7180876923076922,0.7629257142857142,0.96899,0.74148,0.7376499999999999,0.79894,0.8292466666666667,0.98226,0.97992,0.98174,0.97672,0.97058,0.79894,0.99876,0.971911,0.99964
